state,statecode,district,schoolname,schoolcode,treatment
cg,1,1,Dr.S.R.Dewangan Govt.H.S.SchoolDhamtari,1001,1
cg,1,1,Govt.Model Girls H.S.School Dhamtari,1002,1
cg,1,1,Govt.High School Gokulpur Ward Dhamatri,1003,1
cg,1,1,Govt.H.S.School Sambalpur,1004,1
cg,1,1,Govt.H.School Shankardah,1005,1
cg,1,1,Govt.High School Rudri,1006,1
cg,1,1,Govt.H.S.School Khathuli,1007,1
cg,1,1,Govt.H.S.School Aamdi,1008,1
cg,1,1,Govt.H.S.School Doma,1009,1
cg,1,1,Govt.H.S.School Kharenga,1010,1
cg,1,1,Govt.H.S.School Bagtarai,1011,1
cg,1,1,Govt.H.S.School Kurra,1012,1
cg,1,1,Govt.H.S.School Gopalpuri,1013,1
cg,1,1,Govt.H.S.School Maroud,1014,1
cg,1,1,Govt.H.S.School Darba,1015,1
cg,1,1,Govt.H.S.School Sivanikala,1016,1
cg,1,1,Govt.H.S.School Ji.Jamgoan,1017,1
cg,1,1,Govt.H.S.School Bhatagaon,1018,1
cg,1,1,Govt.H.S.School Sirri,1019,1
cg,1,1,Govt.H.S. School Charra,1020,1
cg,1,1,Govt.High School Thooha,1021,1
cg,1,1,Govt.H.S.School Atang,1022,1
cg,1,1,Govt.H.S.School Gatapar,1023,1
cg,1,1,Govt.High School Rampur,1024,1
cg,1,1,Govt.H.S.School Kachana,1025,1
cg,1,1,Govt.H.S.School Bhendara,1026,1
cg,1,1,Govt.H.S.School Joratarai,1027,1
cg,1,1,Govt.H.S.School Korra,1028,1
cg,1,1,Govt.H.S.School Nari,1029,1
cg,1,1,Govt.H.S.School Soram,1030,1
MZ,2,3,GOVT. MIZO HIGH SCHOOL,1001,1
MZ,2,3,GOVT. CHAWNPUI HIGH SCHOOL,1002,1
MZ,2,3,GOVT. K.M. HIGH SCHOOL,1003,1
MZ,2,3,GOVT. SAKAWRTUICHHUN HIGH SCHOOL,1004,1
MZ,2,3,GOVT. JL HIGH SCHOOL,1005,1
MZ,2,3,GOVT. KULIKAWN HIGH SCHOOL,1006,1
MZ,2,3,TUIKUAL SOUTH HIGH SCHOOL(ADHOC),1007,1
MZ,2,3,GOVT. AIZAWL HIGH SCHOOL,1008,1
MZ,2,3,GOVT. HRANGCHHUANA HIGH SCHOOL,1009,1
MZ,2,3,GOVT. GORKHA HIGH SCHOOL,1010,1
MZ,2,3,GOVT. BAWNGKAWN HIGH SCHOOL,1011,1
MZ,2,3,GOVT. BUNGKAWN HIGH SCHOOL,1012,1
MZ,2,3,GOVT. MELRIAT HIGH SCHOOL,1013,1
MZ,2,3,GOVT. PIANGHLEIA HIGH SCHOOL,1014,1
MZ,2,3,GOVT. ZEMABAWK HIGH SCHOOL,1015,1
MZ,2,3,GOVT. MAMAWII HIGH SCHOOL,1016,1
MZ,2,3,GOVT. BETHLEHEM VENGTHLANG HIGH SCHOOL,1017,1
MZ,2,3,GOVT. COMPREHENSIVE MODEL HIGH SCHOOL,1018,1
MZ,2,3,GOVT. CHALTLANG HIGH SCHOOL,1019,1
MZ,2,3,GOVT. DINTHAR HIGH SCHOOL,1020,1
MZ,2,3,GOVT. HRANGCHHUNGA HIGH SCHOOL,1021,1
MZ,2,3,RAMHLUN SOUTH HIGH SCHOOL(ADHOC),1022,1
MZ,2,3,GOVT. REPUBLIC HIGH SCHOOL,1023,1
MZ,2,3,GOVT. TANHRIL HIGH SCHOOL,1024,1
MZ,2,3,GOVT. DURTLANG HIGH SCHOOL,1025,1
MZ,2,3,GOVT. KVM HIGH SCHOOL,1026,1
MZ,2,3,GOVT. SIHPHIR HIGH SCHOOL,1027,1
MZ,2,3,GOVT. CENTRAL HIGH SCHOOL,1028,1
MZ,2,3,GOVT. MAUBAWK HIGH SCHOOL,1029,1
MZ,2,3,GOVT. SAIRANG HIGH SCHOOL,1030,1
Jai,3,5,"Govt. Sr. Sec. School near tample, padampura",1001,1
Jai,3,5,"Govt. Sr. Sec. School, chaapradi",1002,1
Jai,3,5,"Govt. Adarsh Sr. Sec. School, nevar, dhula via banshka",1009,1
Jai,3,5,"Govt. Sr. Sec. School, bhonawas",1004,1
Jai,3,5,"Govt. Adarsh Sr. Sec. School, taskola",1005,1
Jai,3,5,"Govt. Adarsh Sr. Sec. School, mohabbatpura",1006,1
Jai,3,5,"Govt. Adarsh Sr. Sec. School, harsolia",1007,1
Jai,3,5,"Govt. Adarsh Sr. Sec. School, Gohandi",1008,1
Jai,3,5,"Govt. Sec. School, Dhaupura",1010,1
Jai,3,5,"Govt. Sr. Sec. School, Tholai",1011,1
Jai,3,5,"Govt. Sr. Sec. School, nidadh, jhotwara",1012,1
Jai,3,5,"Govt. Sr. Sec. School, Jawahar nagar",1013,1
Jai,3,5,"Govt. Sec. School, Mandi khatikan",1014,1
Jai,3,5,"Govt. Sec. School, Rajpur vaas tala",1015,1
Jai,3,5,"Govt. Sec. School, kunthada kalan, Bassi",1016,1
Jai,3,5,"Govt. Sec. School, hanutpura",1017,1
Jai,3,5,"Govt. Sr. Sec. School, labor colony, bani park",1018,1
Jai,3,5,"Govt. Girls Sr. Sec. School, nari ka naka, sastrinagar",1019,1
Jai,3,5,"Govt. Sr. Sec. School, charan nadi, dadi ka fatak",1020,1
Jai,3,5,"Govt. Adarsh Sr. Sec. School, rampura dabdi",1021,1
Jai,3,5,"Govt. Adarsh Sr. Sec. School, Khorashymdas,Jalsu",1022,1
Jai,3,5,"Govt. Sr. Sec. School, Nivaru road jaipur",1023,1
Jai,3,5,"Govt. girls Sr. Sec. School, raval ji ka bag",1024,1
Jai,3,5,"Govt. Sr. Sec. School, chakbasdi, Jhotwada",1025,1
Jai,3,5,"Govt. Sr. Sec. School, goukulpura",1026,1
Jai,3,5,"Govt. Sr. Sec. School, goliyawas",1027,1
Jai,3,5,"Govt. Adarsh Sr. Sec. School, mansarovar",1028,1
Jai,3,5,"Govt. Adarsh Sr. Sec. School,Barodiya Viratnagar",1029,1
Jai,3,5,"Govt. Sr. Sec. School, Rojdi via phulera, Dudu",1030,1
Jai,3,5,"Govt. Sr. Sec. School, sakuhooa, Hatupura, Dudu",1031,1
Jai,3,5,"Govt. Sec. School, Sunadiya,chhaparwada, Dudu",1032,1
Jai,3,5,"Govt. Sr. Sec. School, Kachroda, Dudu",1033,1
Jai,3,5,"Govt. Girls Sec. School, Shubash chok narayana",1034,1
Jai,3,5,"Govt. Sr. Sec. School, Garudwasi",1035,1
Jai,3,5,Govt. Girl sec. school sheetala dungri,1036,1
Jai,3,5,Govt. sr. Sec. School Radoli,1037,1
Jai,3,5,Govt. Sec. School Mahadevpura,1038,1
Jai,3,5,"Govt. Sr. Sec. School, Ramnagar",1039,1
Jai,3,5,"Govt. Sr. Sec. School, Agra Road Paldi Meena",1040,1
Jai,3,5,"Govt. Adarsh Sr. Sec. School, Agra road Jhar",1041,1
Jai,3,5,"Govt. Adarsh Sr. Sec. School, Sambharia",1042,1
Jai,3,5,"Govt. Girl Sr. Sec. School, Goner, near Jagdish temple",1043,1
Jai,3,5,"Govt. Adarsh Sr. Sec. School, Vidhani",1044,1
Jai,3,5,"Govt. Girl Sr. Sec. School, Durgapura",1045,1
Jai,3,5,"Govt. Sr. Sec. School, Govindgadh",1046,1
Jai,3,5,"Govt. Adarsh Sr. Sec. School, Hadota",1047,1
Jai,3,5,"Govt. Maheshwari Sec. School, Chomu",1048,1
Jai,3,5,"Govt. Adarsh Sr. Sec. School, Radhaswami ka bagh",1049,1
Jai,3,5,"Govt. Sec. School, dabla bujurag",1050,1
Jai ,3,5,"Govt. Sr. Sec. School, Sanjhariya",1051,1
Sirohi,3,7,"Govt.Girls Sr. School, Mandar",2001,1
Sirohi,3,7,"Govt. Girls Sec. school, jawal",2002,1
Sirohi,3,7,"Govt. sec. Sr. school, bhootgaon",2003,1
Sirohi,3,7,"Govt. Sr. Sec. school, haliwada",2004,1
Sirohi,3,7,"Govt. Sr. Sec. school, aamlari",2005,1
Sirohi,3,7,"Govt. Sr. Sec. school, mandwariya",2006,1
Sirohi,3,7,"Govt. Sr. Sec. school, fugni",2007,1
Sirohi,3,7,"Govt. Adarsh sr. sec. School, madiya",2008,1
Sirohi,3,7,"Govt. Sr. Se. school, Manora",2009,1
Sirohi,3,7,"Govt. Sr. sec. school, rukhada, shivganj",2010,1
Sirohi,3,7,"Govt. Sr. sec. school, sanpur",2011,1
Sirohi,3,7,"Govt. Sec. School, deldar, mandh",2012,1
Sirohi,3,7,"Govt. Adarsh sr. Sec. School, Sorda",2013,1
Sirohi,3,7,"Govt. Adarsh Sr. Sec. School, magriawada",2014,1
Sirohi,3,7,"Govt. Sr. Sec. school, Jeerawal",2015,1
Sirohi,3,7,"Govt. Sr.Sec school, Datrai",2016,1
